Province,GDP by City,life_expectancy,population,pop_growth,pop_density,year,pop_infants_and_toddlers,80+_male,65+_male,50+_male
ADANA,0.060656357812834016,0.304347826086957,0.14266178192847062,0.7786357786357786,0.05137105171815342,2017,0.16089984265216783,0.14096483596666012,0.1527913874115313,0.1463825826730638
ADIYAMAN,0.010154460318923933,0.7826086956521756,0.03618436550120283,0.7837837837837838,0.026379729260673376,2017,0.05014791388624912,0.04354109954255886,0.03504265483519673,0.029209106484897853
AFYON,0.017826594393217543,0.2173913043478244,0.04292790673620078,0.7458172458172458,0.013536966331135021,2017,0.041809690480023406,0.08034686947492493,0.06500470305294699,0.05216618619983505
AGRI,0.005103466409244712,0.15217391304347672,0.03052180615196741,0.6640926640926641,0.01249566122874002,2017,0.05565768451153798,0.014031936687901663,0.0136137560479515,0.015019801702103756
AMASYA,0.007263036608259223,0.5217391304347814,0.017032121157522798,0.805019305019305,0.016313779937521693,2017,0.013024038386639455,0.048550500940139754,0.03667508342190204,0.02599117030485174
ANKARA,0.28411083936221404,0.7173913043478279,0.3617983443940622,0.8532818532818532,0.07323845886844846,2017,0.330804343423328,0.4284090590183257,0.40945368202124344,0.38968179392441393
ANTALYA,0.0967159207442239,0.695652173913043,0.15642386448188075,0.833976833976834,0.03575147518222839,2017,0.14724052753933264,0.18917857042629024,0.18088967357975438,0.1701873948313855
ARTVIN,0.0038804133721087536,0.695652173913043,0.006121671354547244,0.6615186615186615,0.004165220409580008,2017,0.004138819216168918,0.028049841439115424,0.016409399122242277,0.0116352554560009
AYDIN,0.028621742882403482,0.5217391304347814,0.06776386428168657,0.8108108108108107,0.0440819160013884,2017,0.05597791937351675,0.14266270030589623,0.12187999903974789,0.0974873159309864
BALIKESIR,0.03757771903028773,0.304347826086957,0.07636080331254651,0.7818532818532818,0.025338424158278375,2017,0.05353115192807352,0.18442174388909158,0.16203817875093024,0.12066015887323081
BILECIK,0.007709399340798796,0.36956521739130466,0.009420738115972493,0.8346203346203346,0.014231169732731691,2017,0.007870853607662095,0.022465130637330563,0.014336127521480184,0.012679600544387219
BINGOL,0.003450546679993894,0.586956521739129,0.013274943361727543,0.8256113256113256,0.007636237417563346,2017,0.018642861964926493,0.01459321415541773,0.00941483545861859,0.008418595981441807
BITLIS,0.0033748756478689784,0.5,0.017825423994608104,0.74002574002574,0.01318986463033669,2017,0.03054261633613236,0.0084331939494289,0.007324104728586923,0.008720536829123184
BOLU,0.01045050526816749,0.6739130434782616,0.015317257740007808,0.8056628056628057,0.008677542519958349,2017,0.0113025596285968,0.041730979709819545,0.029567035418026112,0.021305022814727053
BURDUR,0.006365688435742447,0.6739130434782616,0.012522279944879868,0.8178893178893178,0.00971884762235335,2017,0.0087493357290363,0.042713215277972665,0.027458845558724868,0.020042999440802997
BURSA,0.13275442650603064,0.3478260869565233,0.19433830815891415,0.8133848133848134,0.09406456091634849,2017,0.18448643848634502,0.24345410153509386,0.23876232232607977,0.21738208986474583
CANAKKALE,0.019325460879334844,0.41304347826087096,0.030588871205068917,0.8655083655083655,0.014578271433530023,2017,0.020167872307647036,0.07888754805938317,0.06558521910116037,0.04876312772417033
CANKIRI,0.0031374566896111723,0.41304347826087096,0.008947879443059768,0.8120978120978121,0.004859423811176674,2017,0.005594589588731887,0.026702775517076865,0.01992523127890304,0.013320506698873691
CORUM,0.011402184563521586,0.5434782608695627,0.030310000700679657,0.7425997425997426,0.010413051023950017,2017,0.025300285095577125,0.08146942440995707,0.06475372806969684,0.04497961101337221
DENIZLI,0.03631635129400127,0.4565217391304337,0.06309506888348365,0.8185328185328185,0.026379729260673376,2017,0.055371204135011017,0.10995425588639744,0.09216892580524777,0.07790201540728182
DIYARBAKIR,0.02833178637710217,0.608695652173914,0.11011494482981826,0.8378378378378378,0.03540437348143006,2017,0.17527146395799906,0.07422894507899981,0.06436089766113139,0.06146890073104156
EDIRNE,0.011224136606697736,0.2826086956521756,0.021971579098392105,0.8172458172458172,0.019437695244706697,2017,0.013649794616938521,0.05475261695619229,0.04560542804328991,0.03716617343278018
ELAZIG,0.012351029523433624,0.5434782608695627,0.03425749643821173,0.7895752895752896,0.020131898646303367,2017,0.03382891841973616,0.05841495243173462,0.043357565149832064,0.03616906644741377
ERZINCAN,0.005853751774265365,0.6739130434782616,0.01026061946755019,0.88996138996139,0.0031239153071850054,2017,0.009527419893682026,0.02461201695057952,0.016784770401538147,0.012363615936348573
ERZURUM,0.015900167364905956,0.2608695652173907,0.0457493101641926,0.7226512226512226,0.006594932315168344,2017,0.05554343856077798,0.06564139982600399,0.052228985209935117,0.04075818432052457
ESKISEHIR,0.03406780048156018,0.41304347826087096,0.05264526590793069,0.8545688545688546,0.017702186740715033,2017,0.04086889238550738,0.08949569219543682,0.08124824044712829,0.06842183881337885
GAZIANTEP,0.05728566081495275,0.17391304347826164,0.129878582224758,0.8365508365508365,0.09822978132592851,2017,0.19786879371854993,0.08225521286447957,0.09131997564451466,0.08798160522734294
GIRESUN,0.007707159105655946,0.7826086956521756,0.024799922591580502,0.6325611325611326,0.018396390142311696,2017,0.016002222603042057,0.08532820699913002,0.05412766551800145,0.04092479438658131
GUMUSHANE,0.0019143255955015954,0.804347826086957,0.005370142371433623,0.6653796653796653,0.005206525511975009,2017,0.005032014831201607,0.015491258103443437,0.00845240095763324,0.0076002277642588855
HAKKARI,0.0035362237488369983,0.2173913043478244,0.013626284162304101,0.9234234234234233,0.009371745921555015,2017,0.019517882087792822,0.0,0.0001156667314109374,0.002503619460055715
HATAY,0.040898463901551683,0.3913043478260896,0.10193767954916269,0.8178893178893178,0.08989934050676848,2017,0.12718170818468377,0.13340162209188114,0.1006300563275158,0.09625465678326392
ISPARTA,0.01130433667789194,0.5652173913043477,0.0239657801400692,0.8326898326898327,0.014231169732731691,2017,0.018609972979101646,0.056043555131479246,0.04193246372320296,0.03241555231556074
ICEL,0.05560548879431259,0.4565217391304337,0.11559172397225309,0.8082368082368082,0.03644567858382506,2017,0.1185656593982008,0.15364970673252323,0.14338746390870621,0.13014927240554294
ISTANBUL,0.9999999999999999,0.5652173913043477,1.0,0.8326898326898327,0.9999999999999999,2017,0.9999999999999999,0.9294614542699183,0.9139919644357537,0.9353303986129871
IZMIR,0.20057561137751648,0.5434782608695627,0.28282400595244056,0.8204633204633204,0.1197500867754252,2017,0.23452789591847686,0.44256728313641847,0.4242939419003826,0.3599243424328389
KARS,0.0037563045186547158,0.2608695652173907,0.013786973364163237,0.6879021879021878,0.005900728913571676,2017,0.019226208713504046,0.01965874329975023,0.013899649289740796,0.011535672428012962
KASTAMONU,0.008794212610356645,0.2826086956521756,0.020092756640608056,0.657014157014157,0.005900728913571676,2017,0.012934026425434609,0.0658238150029467,0.052392664546837386,0.034705323606539794
KAYSERI,0.04334321525368147,0.3913043478260896,0.08724502767684655,0.8191763191763192,0.024297119055883373,2017,0.0927287645339025,0.10344343726321108,0.09947120662224773,0.08875975722168458
KIRKLARELI,0.012479480946519971,0.3478260869565233,0.018590432719738148,0.8146718146718146,0.01596667823672336,2017,0.011974187339125256,0.04589846490612634,0.03624951714595614,0.03007918127430528
KIRSEHIR,0.004394535628847153,0.5217391304347814,0.010649930432519545,0.8616473616473617,0.009024644220756682,2017,0.009298062492535066,0.019855190413380852,0.015931455458487648,0.014376342136643235
KOCAELI,0.12829254158574602,0.43478260869565233,0.12172587409787496,0.9176319176319176,0.17702186740715029,2017,0.13056321522725425,0.11440237981646227,0.11936806681608772,0.11666215564061251
KONYA,0.066366169058548,0.4782608695652151,0.14169310898237958,0.7915057915057915,0.015619576535925024,2017,0.14963969250529255,0.19953413970196165,0.17728218099442836,0.14818848258446046
KUTAHYA,0.015035433997866115,0.15217391304347672,0.03307655092106009,0.7200772200772201,0.012842762929538355,2017,0.025120261173167433,0.07111385513428564,0.06073376355537709,0.04752983022370433
MALATYA,0.01546764500108865,0.6304347826086953,0.04769706615416954,0.7799227799227799,0.019437695244706697,2017,0.04760594148183922,0.07557601100103836,0.06421249506234,0.052419612239009476
MANISA,0.05306624513911905,0.2173913043478244,0.08991181446002623,0.8095238095238095,0.03366886497743839,2017,0.07996437603535392,0.15363567479583531,0.13687084390883716,0.116738757969834
KAHRAMANMARAS,0.024779920010752018,0.6739130434782616,0.07090724669596175,0.8217503217503217,0.023602915654286703,2017,0.08928061402005535,0.08970617124575535,0.07815360978409604,0.06470726419888008
MARDIN,0.014472584241696501,0.804347826086957,0.049843081122021696,0.8436293436293436,0.028115237764665048,2017,0.0819195396926784,0.04915387421771953,0.031288942042238,0.025957337609445578
MUGLA,0.03491181926240108,0.9130434782608674,0.059071499354373745,0.8391248391248392,0.0215203054494967,2017,0.04547075390210507,0.125571801420032,0.10237815164563205,0.08295457737218263
MUS,0.0049309214690609685,0.304347826086957,0.021735616881708594,0.7046332046332046,0.013536966331135021,2017,0.038766593791598074,0.008994471416944967,0.00870992311435948,0.010490688986883129
NEVSEHIR,0.005842994656001026,0.36956521739130466,0.014418319102863111,0.7676962676962676,0.014925373134328358,2017,0.013667104609477912,0.026169561922936603,0.022574654145561125,0.01800537748351135
NIGDE,0.007260806780712854,0.32608695652173836,0.018847148400615264,0.7586872586872586,0.012842762929538355,2017,0.020050164358379162,0.027488563971599357,0.023373409309644204,0.01927952955956214
ORDU,0.015130984406572257,0.695652173913043,0.046021841185950374,0.6647361647361647,0.039569593891010064,2017,0.035604923654277906,0.11835938596245055,0.08868364712480876,0.06728174081346568
RIZE,0.00939456874234996,0.6304347826086953,0.017772839654464828,0.7355212355212355,0.025338424158278375,2017,0.013741537577397305,0.029986248702045852,0.026719014955926608,0.023728209829100205
SAKARYA,0.03582919858894778,0.304347826086957,0.061955163174946364,0.8223938223938223,0.06733772995487679,2017,0.05884531963766724,0.08391098139365195,0.08062625896689966,0.07096567449627585
SAMSUN,0.03362437355852837,0.43478260869565233,0.08364393461657808,0.8198198198198198,0.046511627906976744,2017,0.07112675934436671,0.1382987679959588,0.13008142501413097,0.10796651456848631
SIIRT,0.003706815530080866,0.5,0.016642543266968964,0.7754182754182753,0.01666088163832003,2017,0.029884836619635417,0.008278842645861982,0.005580374192788071,0.006181169615430773
SINOP,0.0028511402411796043,0.5,0.009172830979383335,0.7960102960102959,0.008677542519958349,2017,0.005792789003307939,0.04035584991440518,0.029252771091173753,0.018002185719793787
SIVAS,0.015089792006994349,0.41304347826087096,0.0376587956984942,0.7361647361647361,0.003818118708781673,2017,0.033664473490611926,0.07661437431594309,0.06427360201478352,0.046216100277555766
TEKIRDAG,0.0486116897686572,0.32608695652173836,0.06323820772816299,0.9472329472329472,0.05137105171815342,2017,0.06116399313831896,0.07651615075912778,0.07159552435221174,0.06820607558607165
TOKAT,0.01025602371649782,0.304347826086957,0.035392464023436064,0.7290862290862291,0.017007983339118363,2017,0.028481861724317596,0.07307832627059187,0.06707579226255038,0.04957830417763569
TRABZON,0.022998074445475195,0.8478260869565197,0.04842223623581541,0.7927927927927928,0.054842068726136756,2017,0.04052269253471952,0.09531894592091601,0.07446755111705691,0.06226109648574047
TUNCELI,0.0009008321154392841,1.0,0.0003953167906202348,0.7593307593307593,0.0,2017,0.0,0.011632475514270478,0.002289328325473088,0.0011758457535498796
SANLIURFA,0.026289271283025703,0.3478260869565233,0.13036211792105007,0.8835263835263835,0.03297466157584172,2017,0.2533603023017097,0.058527207925237835,0.06055262508920524,0.06151103201211338
USAK,0.009980537239505968,0.43478260869565233,0.019034463429526638,0.8462033462033461,0.019784796945505036,2017,0.015909614142956306,0.041534532596188924,0.03203750220967105,0.02605181381548542
VAN,0.013591452839098826,0.19565217391304301,0.06950141637388267,0.7747747747747747,0.01596667823672336,2017,0.11362798402633889,0.029509162854657198,0.03131949551845975,0.034966409878636376
YOZGAT,0.007672895563436241,0.304347826086957,0.022869316570406625,0.6988416988416988,0.006594932315168344,2017,0.020115942330028856,0.04660006174052143,0.04133012376340261,0.030947979358225682
ZONGULDAK,0.015575061804384222,0.36956521739130466,0.0345284259064626,0.7284427284427284,0.05900728913571677,2017,0.024353428503672316,0.058906070215811186,0.058077793515242906,0.049834921980527684
AKSARAY,0.009176965847794778,0.4782608695652151,0.02201455411749397,0.8275418275418275,0.014578271433530023,2017,0.025019863216438953,0.02514523054471978,0.02513678136587133,0.02064496607793521
BAYBURT,0.0,0.6521739130434767,0.0,0.0,0.003818118708781673,2017,0.000803183653827845,0.0024696208570706927,0.0,0.0
KARAMAN,0.006767702665070803,0.5652173913043477,0.011320247306554026,0.7631917631917632,0.005900728913571676,2017,0.012097953785781917,0.027011478124210703,0.017022651037836116,0.013204326499554431
KIRIKKALE,0.007185584142536391,0.36956521739130466,0.013635092706592062,0.7528957528957528,0.017355085039916694,2017,0.010787587350549853,0.022605450004209576,0.021710427246717137,0.01876565560103464
BATMAN,0.00864901102803147,0.695652173913043,0.034488720725770666,0.824967824967825,0.039916695591808396,2017,0.05664954708404521,0.01793281508713833,0.01381235364339292,0.015017248291129708
SIRNAK,0.008103185497808054,0.32608695652173836,0.029489671648165384,0.989060489060489,0.0204790003471017,2017,0.052806728740299916,0.006398563129683158,0.005861902652259976,0.007579162123722976
BARTIN,0.002860769002525303,0.3913043478260896,0.007789222212212513,0.7754182754182753,0.02846233946546338,2017,0.0049636403606710035,0.02050065950102433,0.017915249021743164,0.013425196548809727
ARDAHAN,0.00031420013400751856,0.17391304347826164,0.0011099433116789955,0.6537966537966537,0.0031239153071850054,2017,0.0019395846640390098,0.006230179889428339,0.003808272571926157,0.002269344003186656
IGDIR,0.0025244631335890185,0.586956521739129,0.0076862556679979585,0.8018018018018018,0.014925373134328358,2017,0.0141353399076685,0.0054584233715937475,0.003561662370993403,0.004169720120623134
YALOVA,0.009609459590721754,0.5434782608695627,0.012008982045917873,0.9845559845559846,0.09927108642832351,2017,0.010533130460220771,0.022100300283445118,0.02023513082343801,0.01653205935148468
KARABUK,0.006020035677865198,0.5,0.011060061593078619,0.7915057915057915,0.01666088163832003,2017,0.0069378450097888,0.024976847304464957,0.021631861165004047,0.016195647455653637
KILIS,0.0010712122755546746,0.0,0.004021701050018518,1.0,0.02915654286706005,2017,0.007895087597217245,0.004265708753122105,0.0022085798526013008,0.002338924452229511
OSMANIYE,0.01160364787783158,0.41304347826087096,0.030172000173501627,0.8037323037323036,0.054842068726136756,2017,0.036086141446873034,0.030168663878988575,0.03163157745415342,0.030319840258609464
DUZCE,0.010735472198255165,0.304347826086957,0.020391112712664618,0.8603603603603603,0.047205831308573414,2017,0.018925014843318603,0.028919821513765327,0.026393838673280767,0.0239592935222517
ADANA,0.060656357812834016,0.304347826086957,0.14266178192847062,0.7786357786357786,0.05137105171815342,2018,0.15851798767874734,0.14720904779277635,0.16084004600480561,0.14969563341189326
ADIYAMAN,0.010154460318923933,0.7826086956521756,0.03618436550120283,0.7837837837837838,0.026379729260673376,2018,0.050457762752704256,0.04756826537198664,0.03708100817741967,0.030552839009991496
AFYON,0.017826594393217543,0.2173913043478244,0.04292790673620078,0.7458172458172458,0.013536966331135021,2018,0.04176381899979401,0.08414952431734628,0.0682717426175163,0.05438956880548881
AGRI,0.005103466409244712,0.15217391304347672,0.03052180615196741,0.6640926640926641,0.01249566122874002,2018,0.054339528579663184,0.015294810989812812,0.014772605753219573,0.015536229071605304
AMASYA,0.007263036608259223,0.5217391304347814,0.017032121157522798,0.805019305019305,0.016313779937521693,2018,0.0128059324806431,0.05173575056829343,0.038311876790924744,0.027212339103190996
ANKARA,0.28411083936221404,0.7173913043478279,0.3617983443940622,0.8532818532818532,0.07323845886844846,2018,0.33147337463497556,0.43988718322902925,0.4213433490538243,0.39632193916243014
ANTALYA,0.0967159207442239,0.695652173913043,0.15642386448188075,0.833976833976834,0.03575147518222839,2018,0.14827566509318835,0.20351920972132573,0.19297793820777673,0.1790113448049577
ARTVIN,0.0038804133721087536,0.695652173913043,0.006121671354547244,0.6615186615186615,0.004165220409580008,2018,0.004151801710573463,0.029382875424466083,0.018358274426958643,0.013146874752638312
AYDIN,0.028621742882403482,0.5217391304347814,0.06776386428168657,0.8108108108108107,0.0440819160013884,2018,0.05630507823251128,0.15023994611736313,0.12955328635372632,0.10145276317368557
BALIKESIR,0.03757771903028773,0.304347826086957,0.07636080331254651,0.7818532818532818,0.025338424158278375,2018,0.05350345594001049,0.1965453371874386,0.1717520017982903,0.12565846085493307
BILECIK,0.007709399340798796,0.36956521739130466,0.009420738115972493,0.8346203346203346,0.014231169732731691,2018,0.007998082052826636,0.022423034827266854,0.015008303998358842,0.01322028531814224
BINGOL,0.003450546679993894,0.586956521739129,0.013274943361727543,0.8256113256113256,0.007636237417563346,2018,0.019049646789602234,0.015336906799876518,0.010224502578495153,0.009403574264681476
BITLIS,0.0033748756478689784,0.5,0.017825423994608104,0.74002574002574,0.01318986463033669,2018,0.03074254674996235,0.008994471416944967,0.008103218372241731,0.009353144397943994
BOLU,0.01045050526816749,0.6739130434782616,0.015317257740007808,0.8056628056628057,0.008677542519958349,2018,0.01143238457264225,0.043513035669183055,0.03160102397793166,0.022477038451815857
BURDUR,0.006365688435742447,0.6739130434782616,0.012522279944879868,0.8178893178893178,0.00971884762235335,2018,0.008741546232393574,0.04501445289478854,0.028582777005453794,0.020738165578488024
BURSA,0.13275442650603064,0.3478260869565233,0.19433830815891415,0.8133848133848134,0.09406456091634849,2018,0.18705351037993703,0.25501641736592484,0.24949750443571003,0.224792088511438
CANAKKALE,0.019325460879334844,0.41304347826087096,0.030588871205068917,0.8655083655083655,0.014578271433530023,2018,0.020533978649855202,0.08367243846995763,0.06943277471394307,0.05079947297597495
CANKIRI,0.0031374566896111723,0.41304347826087096,0.008947879443059768,0.8120978120978121,0.004859423811176674,2018,0.007154219916531215,0.029523194791345096,0.023303572792565903,0.016731225407460557
CORUM,0.011402184563521586,0.5434782608695627,0.030310000700679657,0.7425997425997426,0.010413051023950017,2018,0.02507871719107289,0.0851457918221873,0.06702996204821775,0.04666869237270607
DENIZLI,0.03631635129400127,0.4565217391304337,0.06309506888348365,0.8185328185328185,0.026379729260673376,2018,0.05503365928049285,0.11625459545926528,0.09667338115679826,0.08075992063998692
DIYARBAKIR,0.02833178637710217,0.608695652173914,0.11011494482981826,0.8378378378378378,0.03540437348143006,2018,0.17660692988241322,0.07707742822664385,0.06758647179368546,0.06399294747888967
EDIRNE,0.011224136606697736,0.2826086956521756,0.021971579098392105,0.8172458172458172,0.019437695244706697,2018,0.013592671641558522,0.057025790699632366,0.048088989181887025,0.038270523679056666
ELAZIG,0.012351029523433624,0.5434782608695627,0.03425749643821173,0.7895752895752896,0.020131898646303367,2018,0.03406346881864494,0.06171245755339152,0.04578001933598566,0.03818115429496492
ERZINCAN,0.005853751774265365,0.6739130434782616,0.01026061946755019,0.88996138996139,0.0031239153071850054,2018,0.009124097067514164,0.027713074958605782,0.01969826259839856,0.014147173501722277
ERZURUM,0.015900167364905956,0.2608695652173907,0.0457493101641926,0.7226512226512226,0.006594932315168344,2018,0.054661494440895894,0.07010355569275672,0.05509228241014549,0.04287432366526824
ESKISEHIR,0.03406780048156018,0.41304347826087096,0.05264526590793069,0.8545688545688546,0.017702186740715033,2018,0.04124711572249312,0.0943086464793871,0.08448254414431716,0.07020348132052202
GAZIANTEP,0.05728566081495275,0.17391304347826164,0.129878582224758,0.8365508365508365,0.09822978132592851,2018,0.19642687134001846,0.08729267813543626,0.09598592794180871,0.09121039340402877
GIRESUN,0.007707159105655946,0.7826086956521756,0.024799922591580502,0.6325611325611326,0.018396390142311696,2018,0.016160609034777507,0.09190918530575591,0.058315674151540875,0.044830236471390304
GUMUSHANE,0.0019143255955015954,0.804347826086957,0.005370142371433623,0.6653796653796653,0.005206525511975009,2018,0.004471171072925268,0.017175090505991635,0.009894961513531917,0.008201556048647585
HAKKARI,0.0035362237488369983,0.2173913043478244,0.013626284162304101,0.9234234234234233,0.009371745921555015,2018,0.01924265320641647,0.0003507984171975415,0.00032299389148714684,0.002769812554100395
HATAY,0.040898463901551683,0.3913043478260896,0.10193767954916269,0.8178893178893178,0.08989934050676848,2018,0.1283509981807198,0.14019307944882553,0.1062540783434778,0.10052779004833608
ISPARTA,0.01130433667789194,0.5652173913043477,0.0239657801400692,0.8326898326898327,0.014231169732731691,2018,0.01854679150633286,0.05831672887491931,0.04441384247064138,0.03348926163014863
ICEL,0.05560548879431259,0.4565217391304337,0.11559172397225309,0.8082368082368082,0.03644567858382506,2018,0.11828091002092778,0.16058148345634665,0.1510171033995107,0.13446006848248232
ISTANBUL,0.9999999999999999,0.5652173913043477,1.0,0.8326898326898327,0.9999999999999999,2018,0.9935598172757187,0.9495130917969299,0.9270819466056179,0.9436347294533401
IZMIR,0.20057561137751648,0.5434782608695627,0.28282400595244056,0.8204633204633204,0.1197500867754252,2018,0.2328470956429018,0.4616647489686526,0.44285736109625873,0.36920854473448356
KARS,0.0037563045186547158,0.2608695652173907,0.013786973364163237,0.6879021879021878,0.005900728913571676,2018,0.018657575458584978,0.019953413970196163,0.014456159035208518,0.01199337134511137
KASTAMONU,0.008794212610356645,0.2826086956521756,0.020092756640608056,0.657014157014157,0.005900728913571676,2018,0.012851803960872491,0.06778828613925295,0.05553967259767836,0.0369772210207005
KAYSERI,0.04334321525368147,0.3913043478260896,0.08724502767684655,0.8191763191763192,0.024297119055883373,2018,0.09140887760277375,0.10925265905200236,0.10533965644798379,0.0920651477275919
KIRKLARELI,0.012479480946519971,0.3478260869565233,0.018590432719738148,0.8146718146718146,0.01596667823672336,2018,0.012211334236914943,0.04672634917071254,0.038447185042763954,0.031142038592253462
KIRSEHIR,0.004394535628847153,0.5217391304347814,0.010649930432519545,0.8616473616473617,0.009024644220756682,2018,0.009528285393308996,0.020346308197457412,0.017400204708290685,0.015549634479219067
