geoName,Xalfu,Period
Adana,0.0,201701
Adıyaman Province,0.0,201701
Afyonkarahisar Province,0.0,201701
Aksaray,0.0,201701
Amasya Province,0.0,201701
Ankara,0.0,201701
Antalya,0.0,201701
Ardahan Province,0.0,201701
Artvin,0.0,201701
Aydın Province,0.0,201701
Ağrı,0.0,201701
Balıkesir Province,0.0,201701
Bartın Province,0.0,201701
Batman,0.0,201701
Bayburt,0.0,201701
Bilecik,0.0,201701
Bingöl Province,0.0,201701
Bitlis,0.0,201701
Bolu,0.0,201701
Burdur Province,0.0,201701
Bursa,0.0,201701
Denizli,0.0,201701
Diyarbakır,0.0,201701
Düzce Province,0.0,201701
Edirne,0.0,201701
Elazığ,0.0,201701
Erzincan,0.0,201701
Erzurum,0.0,201701
Eskişehir Province,0.0,201701
Gaziantep,0.0,201701
Giresun,0.0,201701
Gümüşhane,0.0,201701
Hakkâri,0.0,201701
Hatay,0.0,201701
Isparta Province,0.0,201701
Iğdır,0.0,201701
Kahramanmaraş Province,0.0,201701
Karabük,0.0,201701
Karaman,0.0,201701
Kars,0.0,201701
Kastamonu,0.0,201701
Kayseri Province,0.0,201701
Kilis,0.0,201701
Kocaeli,0.0,201701
Konya,0.0,201701
Kütahya,0.0,201701
Kırklareli,0.0,201701
Kırıkkale,0.0,201701
Kırşehir,0.0,201701
Malatya,0.0,201701
Manisa,0.0,201701
Mardin,0.0,201701
Mersin Province,0.0,201701
Muğla Province,0.0,201701
Muş,0.0,201701
Nevşehir,0.0,201701
Niğde,0.0,201701
Ordu,0.0,201701
Osmaniye,0.0,201701
Rize,0.0,201701
Sakarya,0.0,201701
Samsun,0.0,201701
Siirt Province,0.0,201701
Sinop Province,0.0,201701
Sivas,0.0,201701
Tekirdağ,0.0,201701
Tokat,0.0,201701
Trabzon,0.0,201701
Tunceli,0.0,201701
Uşak,0.0,201701
Van,0.0,201701
Yalova Province,0.0,201701
Yozgat,0.0,201701
Zonguldak,0.0,201701
Çanakkale Province,0.0,201701
Çankırı,0.0,201701
Çorum Province,0.0,201701
İstanbul,6.024096385542168,201701
İzmir,0.0,201701
Şanlıurfa Province,0.0,201701
Şırnak,0.0,201701
Adana,0.0,201702
Adıyaman Province,0.0,201702
Afyonkarahisar Province,0.0,201702
Aksaray,0.0,201702
Amasya Province,0.0,201702
Ankara,9.523809523809524,201702
Antalya,0.0,201702
Ardahan Province,0.0,201702
Artvin,0.0,201702
Aydın Province,0.0,201702
Ağrı,0.0,201702
Balıkesir Province,0.0,201702
Bartın Province,0.0,201702
Batman,0.0,201702
Bayburt,0.0,201702
Bilecik,0.0,201702
Bingöl Province,0.0,201702
Bitlis,0.0,201702
Bolu,0.0,201702
Burdur Province,0.0,201702
Bursa,0.0,201702
Denizli,0.0,201702
Diyarbakır,0.0,201702
Düzce Province,0.0,201702
Edirne,0.0,201702
Elazığ,0.0,201702
Erzincan,0.0,201702
Erzurum,0.0,201702
Eskişehir Province,0.0,201702
Gaziantep,0.0,201702
Giresun,0.0,201702
Gümüşhane,0.0,201702
Hakkâri,0.0,201702
Hatay,0.0,201702
Isparta Province,0.0,201702
Iğdır,0.0,201702
Kahramanmaraş Province,0.0,201702
Karabük,0.0,201702
Karaman,0.0,201702
Kars,0.0,201702
Kastamonu,0.0,201702
Kayseri Province,0.0,201702
Kilis,0.0,201702
Kocaeli,0.0,201702
Konya,0.0,201702
Kütahya,0.0,201702
Kırklareli,0.0,201702
Kırıkkale,0.0,201702
Kırşehir,0.0,201702
Malatya,0.0,201702
Manisa,0.0,201702
Mardin,0.0,201702
Mersin Province,0.0,201702
Muğla Province,0.0,201702
Muş,0.0,201702
Nevşehir,0.0,201702
Niğde,0.0,201702
Ordu,0.0,201702
Osmaniye,0.0,201702
Rize,0.0,201702
Sakarya,0.0,201702
Samsun,0.0,201702
Siirt Province,0.0,201702
Sinop Province,0.0,201702
Sivas,0.0,201702
Tekirdağ,0.0,201702
Tokat,0.0,201702
Trabzon,0.0,201702
Tunceli,0.0,201702
Uşak,0.0,201702
Van,0.0,201702
Yalova Province,0.0,201702
Yozgat,0.0,201702
Zonguldak,0.0,201702
Çanakkale Province,0.0,201702
Çankırı,0.0,201702
Çorum Province,0.0,201702
İstanbul,3.9047619047619047,201702
İzmir,0.0,201702
Şanlıurfa Province,0.0,201702
Şırnak,0.0,201702
Adana,,201703
Adıyaman Province,,201703
Afyonkarahisar Province,,201703
Aksaray,,201703
Amasya Province,,201703
Ankara,inf,201703
Antalya,,201703
Ardahan Province,,201703
Artvin,,201703
Aydın Province,,201703
Ağrı,,201703
Balıkesir Province,,201703
Bartın Province,,201703
Batman,,201703
Bayburt,,201703
Bilecik,,201703
Bingöl Province,,201703
Bitlis,,201703
Bolu,,201703
Burdur Province,,201703
Bursa,,201703
Denizli,,201703
Diyarbakır,,201703
Düzce Province,,201703
Edirne,,201703
Elazığ,,201703
Erzincan,,201703
Erzurum,,201703
Eskişehir Province,,201703
Gaziantep,,201703
Giresun,,201703
Gümüşhane,,201703
Hakkâri,,201703
Hatay,,201703
Isparta Province,,201703
Iğdır,,201703
Kahramanmaraş Province,,201703
Karabük,,201703
Karaman,,201703
Kars,,201703
Kastamonu,,201703
Kayseri Province,,201703
Kilis,,201703
Kocaeli,,201703
Konya,,201703
Kütahya,,201703
Kırklareli,,201703
Kırıkkale,,201703
Kırşehir,,201703
Malatya,,201703
Manisa,,201703
Mardin,,201703
Mersin Province,,201703
Muğla Province,,201703
Muş,,201703
Nevşehir,,201703
Niğde,,201703
Ordu,,201703
Osmaniye,,201703
Rize,,201703
Sakarya,,201703
Samsun,,201703
Siirt Province,,201703
Sinop Province,,201703
Sivas,,201703
Tekirdağ,,201703
Tokat,,201703
Trabzon,,201703
Tunceli,,201703
Uşak,,201703
Van,,201703
Yalova Province,,201703
Yozgat,,201703
Zonguldak,,201703
Çanakkale Province,,201703
Çankırı,,201703
Çorum Province,,201703
İstanbul,,201703
İzmir,,201703
Şanlıurfa Province,,201703
Şırnak,,201703
Adana,,201704
Adıyaman Province,,201704
Afyonkarahisar Province,,201704
Aksaray,,201704
Amasya Province,,201704
Ankara,inf,201704
Antalya,,201704
Ardahan Province,,201704
Artvin,,201704
Aydın Province,,201704
Ağrı,,201704
Balıkesir Province,,201704
Bartın Province,,201704
Batman,,201704
Bayburt,,201704
Bilecik,,201704
Bingöl Province,,201704
Bitlis,,201704
Bolu,,201704
Burdur Province,,201704
Bursa,,201704
Denizli,,201704
Diyarbakır,,201704
Düzce Province,,201704
Edirne,,201704
Elazığ,,201704
Erzincan,,201704
Erzurum,,201704
Eskişehir Province,,201704
Gaziantep,,201704
Giresun,,201704
Gümüşhane,,201704
Hakkâri,,201704
Hatay,,201704
Isparta Province,,201704
Iğdır,,201704
Kahramanmaraş Province,,201704
Karabük,,201704
Karaman,,201704
Kars,,201704
Kastamonu,,201704
Kayseri Province,,201704
Kilis,,201704
Kocaeli,,201704
Konya,,201704
Kütahya,,201704
Kırklareli,,201704
Kırıkkale,,201704
Kırşehir,,201704
Malatya,,201704
Manisa,,201704
Mardin,,201704
Mersin Province,,201704
Muğla Province,,201704
Muş,,201704
Nevşehir,,201704
Niğde,,201704
Ordu,,201704
Osmaniye,,201704
Rize,,201704
Sakarya,,201704
Samsun,,201704
Siirt Province,,201704
Sinop Province,,201704
Sivas,,201704
Tekirdağ,,201704
Tokat,,201704
Trabzon,,201704
Tunceli,,201704
Uşak,,201704
Van,,201704
Yalova Province,,201704
Yozgat,,201704
Zonguldak,,201704
Çanakkale Province,,201704
Çankırı,,201704
Çorum Province,,201704
İstanbul,inf,201704
İzmir,,201704
Şanlıurfa Province,,201704
Şırnak,,201704
Adana,0.0,201705
Adıyaman Province,0.0,201705
Afyonkarahisar Province,0.0,201705
Aksaray,0.0,201705
Amasya Province,0.0,201705
Ankara,4.395604395604396,201705
Antalya,0.0,201705
Ardahan Province,0.0,201705
Artvin,0.0,201705
Aydın Province,0.0,201705
Ağrı,0.0,201705
Balıkesir Province,0.0,201705
Bartın Province,0.0,201705
Batman,0.0,201705
Bayburt,0.0,201705
Bilecik,0.0,201705
Bingöl Province,0.0,201705
Bitlis,0.0,201705
Bolu,0.0,201705
Burdur Province,0.0,201705
Bursa,0.0,201705
Denizli,0.0,201705
Diyarbakır,0.0,201705
Düzce Province,0.0,201705
Edirne,0.0,201705
Elazığ,0.0,201705
Erzincan,0.0,201705
Erzurum,0.0,201705
Eskişehir Province,0.0,201705
Gaziantep,0.0,201705
Giresun,0.0,201705
Gümüşhane,0.0,201705
Hakkâri,0.0,201705
Hatay,0.0,201705
Isparta Province,0.0,201705
Iğdır,0.0,201705
Kahramanmaraş Province,0.0,201705
Karabük,0.0,201705
Karaman,0.0,201705
Kars,0.0,201705
Kastamonu,0.0,201705
Kayseri Province,0.0,201705
Kilis,0.0,201705
Kocaeli,0.0,201705
Konya,0.0,201705
Kütahya,0.0,201705
Kırklareli,0.0,201705
Kırıkkale,0.0,201705
Kırşehir,0.0,201705
Malatya,0.0,201705
Manisa,0.0,201705
Mardin,0.0,201705
Mersin Province,0.0,201705
Muğla Province,0.0,201705
Muş,0.0,201705
Nevşehir,0.0,201705
Niğde,0.0,201705
Ordu,0.0,201705
Osmaniye,0.0,201705
Rize,0.0,201705
Sakarya,0.0,201705
Samsun,0.0,201705
Siirt Province,0.0,201705
Sinop Province,0.0,201705
Sivas,0.0,201705
Tekirdağ,0.0,201705
Tokat,0.0,201705
Trabzon,0.0,201705
Tunceli,0.0,201705
Uşak,0.0,201705
Van,0.0,201705
Yalova Province,0.0,201705
Yozgat,0.0,201705
Zonguldak,0.0,201705
Çanakkale Province,0.0,201705
Çankırı,0.0,201705
Çorum Province,0.0,201705
İstanbul,1.934065934065934,201705
İzmir,0.0,201705
Şanlıurfa Province,0.0,201705
Şırnak,0.0,201705
Adana,0.0,201706
Adıyaman Province,0.0,201706
Afyonkarahisar Province,0.0,201706
Aksaray,0.0,201706
Amasya Province,0.0,201706
Ankara,0.0,201706
Antalya,0.0,201706
Ardahan Province,0.0,201706
Artvin,0.0,201706
Aydın Province,0.0,201706
Ağrı,0.0,201706
Balıkesir Province,0.0,201706
Bartın Province,0.0,201706
Batman,0.0,201706
Bayburt,0.0,201706
Bilecik,0.0,201706
Bingöl Province,0.0,201706
Bitlis,0.0,201706
Bolu,0.0,201706
Burdur Province,0.0,201706
Bursa,0.0,201706
Denizli,0.0,201706
Diyarbakır,0.0,201706
Düzce Province,0.0,201706
Edirne,0.0,201706
Elazığ,0.0,201706
Erzincan,0.0,201706
Erzurum,0.0,201706
Eskişehir Province,0.0,201706
Gaziantep,0.0,201706
Giresun,0.0,201706
Gümüşhane,0.0,201706
Hakkâri,0.0,201706
Hatay,0.0,201706
Isparta Province,0.0,201706
Iğdır,0.0,201706
Kahramanmaraş Province,0.0,201706
Karabük,0.0,201706
Karaman,0.0,201706
Kars,0.0,201706
Kastamonu,0.0,201706
Kayseri Province,0.0,201706
Kilis,0.0,201706
Kocaeli,0.0,201706
Konya,0.0,201706
Kütahya,0.0,201706
Kırklareli,0.0,201706
Kırıkkale,0.0,201706
Kırşehir,0.0,201706
Malatya,0.0,201706
Manisa,0.0,201706
Mardin,0.0,201706
Mersin Province,0.0,201706
Muğla Province,0.0,201706
Muş,0.0,201706
Nevşehir,0.0,201706
Niğde,0.0,201706
Ordu,0.0,201706
Osmaniye,0.0,201706
Rize,0.0,201706
Sakarya,0.0,201706
Samsun,0.0,201706
Siirt Province,0.0,201706
Sinop Province,0.0,201706
Sivas,0.0,201706
Tekirdağ,0.0,201706
Tokat,0.0,201706
Trabzon,0.0,201706
Tunceli,0.0,201706
Uşak,0.0,201706
Van,0.0,201706
Yalova Province,0.0,201706
Yozgat,0.0,201706
Zonguldak,0.0,201706
Çanakkale Province,0.0,201706
Çankırı,0.0,201706
Çorum Province,0.0,201706
İstanbul,3.7735849056603774,201706
İzmir,0.0,201706
Şanlıurfa Province,0.0,201706
Şırnak,0.0,201706
Adana,,201707
Adıyaman Province,,201707
Afyonkarahisar Province,,201707
Aksaray,,201707
Amasya Province,,201707
Ankara,inf,201707
Antalya,,201707
Ardahan Province,,201707
Artvin,,201707
Aydın Province,,201707
Ağrı,,201707
Balıkesir Province,,201707
Bartın Province,,201707
Batman,,201707
Bayburt,,201707
Bilecik,,201707
Bingöl Province,,201707
Bitlis,,201707
Bolu,,201707
Burdur Province,,201707
Bursa,,201707
Denizli,,201707
Diyarbakır,,201707
Düzce Province,,201707
Edirne,,201707
Elazığ,,201707
Erzincan,,201707
Erzurum,,201707
Eskişehir Province,,201707
Gaziantep,,201707
Giresun,,201707
Gümüşhane,,201707
Hakkâri,,201707
Hatay,,201707
Isparta Province,,201707
Iğdır,,201707
Kahramanmaraş Province,,201707
Karabük,,201707
Karaman,,201707
Kars,,201707
Kastamonu,,201707
Kayseri Province,,201707
Kilis,,201707
Kocaeli,,201707
Konya,,201707
Kütahya,,201707
Kırklareli,,201707
Kırıkkale,,201707
Kırşehir,,201707
Malatya,,201707
Manisa,,201707
Mardin,,201707
Mersin Province,,201707
Muğla Province,,201707
Muş,,201707
Nevşehir,,201707
Niğde,,201707
Ordu,,201707
Osmaniye,,201707
Rize,,201707
Sakarya,,201707
Samsun,,201707
Siirt Province,,201707
Sinop Province,,201707
Sivas,,201707
Tekirdağ,,201707
Tokat,,201707
Trabzon,,201707
Tunceli,,201707
Uşak,,201707
Van,,201707
Yalova Province,,201707
Yozgat,,201707
Zonguldak,,201707
Çanakkale Province,,201707
Çankırı,,201707
Çorum Province,,201707
İstanbul,,201707
İzmir,,201707
Şanlıurfa Province,,201707
Şırnak,,201707
Adana,0.0,201708
Adıyaman Province,0.0,201708
Afyonkarahisar Province,0.0,201708
Aksaray,0.0,201708
Amasya Province,0.0,201708
Ankara,4.0,201708
Antalya,0.0,201708
Ardahan Province,0.0,201708
Artvin,0.0,201708
Aydın Province,0.0,201708
Ağrı,0.0,201708
Balıkesir Province,0.0,201708
Bartın Province,0.0,201708
Batman,0.0,201708
Bayburt,0.0,201708
Bilecik,0.0,201708
Bingöl Province,0.0,201708
Bitlis,0.0,201708
Bolu,0.0,201708
Burdur Province,0.0,201708
Bursa,0.0,201708
Denizli,0.0,201708
Diyarbakır,0.0,201708
Düzce Province,0.0,201708
Edirne,0.0,201708
Elazığ,0.0,201708
Erzincan,0.0,201708
Erzurum,0.0,201708
Eskişehir Province,0.0,201708
Gaziantep,0.0,201708
Giresun,0.0,201708
Gümüşhane,0.0,201708
Hakkâri,0.0,201708
Hatay,0.0,201708
Isparta Province,0.0,201708
Iğdır,0.0,201708
Kahramanmaraş Province,0.0,201708
Karabük,0.0,201708
Karaman,0.0,201708
Kars,0.0,201708
Kastamonu,0.0,201708
Kayseri Province,0.0,201708
Kilis,0.0,201708
Kocaeli,0.0,201708
Konya,0.0,201708
Kütahya,0.0,201708
Kırklareli,0.0,201708
Kırıkkale,0.0,201708
Kırşehir,0.0,201708
Malatya,0.0,201708
Manisa,0.0,201708
Mardin,0.0,201708
Mersin Province,0.0,201708
Muğla Province,0.0,201708
Muş,0.0,201708
Nevşehir,0.0,201708
Niğde,0.0,201708
Ordu,0.0,201708
Osmaniye,0.0,201708
Rize,0.0,201708
Sakarya,0.0,201708
Samsun,0.0,201708
Siirt Province,0.0,201708
Sinop Province,0.0,201708
Sivas,0.0,201708
Tekirdağ,0.0,201708
Tokat,0.0,201708
Trabzon,0.0,201708
Tunceli,0.0,201708
Uşak,0.0,201708
Van,0.0,201708
Yalova Province,0.0,201708
Yozgat,0.0,201708
Zonguldak,0.0,201708
Çanakkale Province,0.0,201708
Çankırı,0.0,201708
Çorum Province,0.0,201708
İstanbul,0.0,201708
İzmir,0.0,201708
Şanlıurfa Province,0.0,201708
Şırnak,0.0,201708
Adana,0.0,201709
Adıyaman Province,0.0,201709
Afyonkarahisar Province,0.0,201709
Aksaray,0.0,201709
Amasya Province,0.0,201709
Ankara,0.0,201709
Antalya,0.0,201709
Ardahan Province,0.0,201709
Artvin,0.0,201709
Aydın Province,0.0,201709
Ağrı,0.0,201709
Balıkesir Province,0.0,201709
Bartın Province,0.0,201709
Batman,0.0,201709
Bayburt,0.0,201709
Bilecik,0.0,201709
Bingöl Province,0.0,201709
Bitlis,0.0,201709
Bolu,0.0,201709
Burdur Province,0.0,201709
Bursa,0.0,201709
Denizli,0.0,201709
Diyarbakır,0.0,201709
Düzce Province,0.0,201709
Edirne,0.0,201709
Elazığ,0.0,201709
Erzincan,0.0,201709
Erzurum,0.0,201709
Eskişehir Province,0.0,201709
Gaziantep,0.0,201709
Giresun,0.0,201709
Gümüşhane,0.0,201709
Hakkâri,0.0,201709
Hatay,0.0,201709
Isparta Province,0.0,201709
Iğdır,0.0,201709
Kahramanmaraş Province,0.0,201709
Karabük,0.0,201709
Karaman,0.0,201709
Kars,0.0,201709
Kastamonu,0.0,201709
Kayseri Province,0.0,201709
Kilis,0.0,201709
Kocaeli,0.0,201709
Konya,0.0,201709
Kütahya,0.0,201709
Kırklareli,0.0,201709
Kırıkkale,0.0,201709
Kırşehir,0.0,201709
Malatya,0.0,201709
Manisa,0.0,201709
Mardin,0.0,201709
Mersin Province,0.0,201709
Muğla Province,0.0,201709
Muş,0.0,201709
Nevşehir,0.0,201709
Niğde,0.0,201709
Ordu,0.0,201709
Osmaniye,0.0,201709
Rize,0.0,201709
Sakarya,0.0,201709
Samsun,0.0,201709
Siirt Province,0.0,201709
Sinop Province,0.0,201709
Sivas,0.0,201709
Tekirdağ,0.0,201709
Tokat,0.0,201709
Trabzon,0.0,201709
Tunceli,0.0,201709
Uşak,0.0,201709
Van,0.0,201709
Yalova Province,0.0,201709
Yozgat,0.0,201709
Zonguldak,0.0,201709
Çanakkale Province,0.0,201709
Çankırı,0.0,201709
Çorum Province,0.0,201709
İstanbul,0.0,201709
İzmir,0.0,201709
Şanlıurfa Province,0.0,201709
Şırnak,0.0,201709
Adana,0.0,201710
Adıyaman Province,0.0,201710
Afyonkarahisar Province,0.0,201710
Aksaray,0.0,201710
Amasya Province,0.0,201710
Ankara,5.4945054945054945,201710
Antalya,0.0,201710
Ardahan Province,0.0,201710
Artvin,0.0,201710
Aydın Province,0.0,201710
Ağrı,0.0,201710
Balıkesir Province,0.0,201710
Bartın Province,0.0,201710
Batman,0.0,201710
Bayburt,0.0,201710
Bilecik,0.0,201710
Bingöl Province,0.0,201710
Bitlis,0.0,201710
Bolu,0.0,201710
Burdur Province,0.0,201710
Bursa,0.0,201710
Denizli,0.0,201710
Diyarbakır,0.0,201710
Düzce Province,0.0,201710
Edirne,0.0,201710
Elazığ,0.0,201710
Erzincan,0.0,201710
Erzurum,0.0,201710
Eskişehir Province,0.0,201710
Gaziantep,0.0,201710
Giresun,0.0,201710
Gümüşhane,0.0,201710
Hakkâri,0.0,201710
Hatay,0.0,201710
Isparta Province,0.0,201710
Iğdır,0.0,201710
Kahramanmaraş Province,0.0,201710
Karabük,0.0,201710
Karaman,0.0,201710
Kars,0.0,201710
Kastamonu,0.0,201710
Kayseri Province,0.0,201710
Kilis,0.0,201710
Kocaeli,0.0,201710
Konya,0.0,201710
Kütahya,0.0,201710
Kırklareli,0.0,201710
Kırıkkale,0.0,201710
Kırşehir,0.0,201710
Malatya,0.0,201710
Manisa,0.0,201710
Mardin,0.0,201710
Mersin Province,0.0,201710
Muğla Province,0.0,201710
Muş,0.0,201710
Nevşehir,0.0,201710
Niğde,0.0,201710
Ordu,0.0,201710
Osmaniye,0.0,201710
Rize,0.0,201710
Sakarya,0.0,201710
Samsun,0.0,201710
Siirt Province,0.0,201710
Sinop Province,0.0,201710
Sivas,0.0,201710
Tekirdağ,0.0,201710
Tokat,0.0,201710
Trabzon,0.0,201710
Tunceli,0.0,201710
Uşak,0.0,201710
Van,0.0,201710
Yalova Province,0.0,201710
Yozgat,0.0,201710
Zonguldak,0.0,201710
Çanakkale Province,0.0,201710
Çankırı,0.0,201710
Çorum Province,0.0,201710
İstanbul,2.3626373626373627,201710
İzmir,0.0,201710
Şanlıurfa Province,0.0,201710
Şırnak,0.0,201710
Adana,0.0,201711
Adıyaman Province,0.0,201711
Afyonkarahisar Province,0.0,201711
Aksaray,0.0,201711
Amasya Province,0.0,201711
Ankara,9.090909090909092,201711
Antalya,0.0,201711
Ardahan Province,0.0,201711
Artvin,0.0,201711
Aydın Province,0.0,201711
